year,state,value
2004,Kansas,0
2005,Kansas,0
2006,Kansas,0
2007,Kansas,1
2008,Kansas,2
2009,Kansas,11
2010,Kansas,19
2011,Kansas,23
2012,Kansas,28
2013,Kansas,32
2014,Kansas,0
2002,Kentucky,0
2003,Kentucky,0
2004,Kentucky,0
2005,Kentucky,0
2006,Kentucky,0
2007,Kentucky,1
2008,Kentucky,4
2009,Kentucky,7
2010,Kentucky,11
2011,Kentucky,17
2012,Kentucky,24
2013,Kentucky,29
2014,Kentucky,0
2002,Louisiana,0
2003,Louisiana,0
2004,Louisiana,0
2005,Louisiana,1
2006,Louisiana,9
2007,Louisiana,15
2008,Louisiana,21
2009,Louisiana,27
2010,Louisiana,34
2011,Louisiana,41
2012,Louisiana,46
2013,Louisiana,54
2014,Louisiana,0
2002,Massachusetts,0
2003,Massachusetts,0
2004,Massachusetts,0
2005,Massachusetts,0
2006,Massachusetts,0
2007,Massachusetts,3
2008,Massachusetts,9
2009,Massachusetts,14
2010,Massachusetts,20
2011,Massachusetts,28
2012,Massachusetts,34
2013,Massachusetts,41
2014,Massachusetts,50
2002,Maryland,0
2003,Maryland,0
2004,Maryland,0
2005,Maryland,0
2006,Maryland,0
2007,Maryland,5
2008,Maryland,12
2009,Maryland,18
2010,Maryland,27
2011,Maryland,35
2012,Maryland,42
2013,Maryland,48
2014,Maryland,100
2002,Maine,0
2003,Maine,0
2004,Maine,0
2005,Maine,0
2006,Maine,0
2007,Maine,3
2008,Maine,10
2009,Maine,19
2010,Maine,31
2011,Maine,38
2012,Maine,44
2013,Maine,53
2014,Maine,100
2002,Michigan,0
2003,Michigan,0
2004,Michigan,0
2005,Michigan,0
2006,Michigan,0
2007,Michigan,2
2008,Michigan,5
2009,Michigan,9
2010,Michigan,13
2011,Michigan,19
2012,Michigan,24
2013,Michigan,32
2014,Michigan,0
2002,Minnesota,0
2003,Minnesota,0
2004,Minnesota,0
2005,Minnesota,0
2006,Minnesota,0
2007,Minnesota,1
2008,Minnesota,3
2009,Minnesota,6
2010,Minnesota,8
2011,Minnesota,14
2012,Minnesota,18
2013,Minnesota,22
2014,Minnesota,100
2002,Missouri,0
2003,Missouri,0
2004,Missouri,0
2005,Missouri,0
2006,Missouri,0
2007,Missouri,1
2008,Missouri,4
2009,Missouri,14
2010,Missouri,22
2011,Missouri,27
2012,Missouri,32
2013,Missouri,38
2014,Missouri,0
2002,Mississippi,0
2003,Mississippi,0
2004,Mississippi,0
2005,Mississippi,0
2006,Mississippi,4
2007,Mississippi,9
2008,Mississippi,19
2009,Mississippi,27
2010,Mississippi,33
2011,Mississippi,38
2012,Mississippi,43
2013,Mississippi,48
2014,Mississippi,0
2002,Montana,0
2003,Montana,0
2004,Montana,0
2005,Montana,0
2006,Montana,0
2007,Montana,1
2008,Montana,3
2009,Montana,5
2010,Montana,7
2011,Montana,9
2012,Montana,12
2013,Montana,16
2014,Montana,0
2003,North Carolina,0
2002,North Carolina,0
2004,North Carolina,9
2005,North Carolina,17
2006,North Carolina,25
2007,North Carolina,35
2008,North Carolina,45
2009,North Carolina,53
2010,North Carolina,60
2011,North Carolina,66
2012,North Carolina,70
2013,North Carolina,74
2014,North Carolina,0
2002,North Dakota,0
2003,North Dakota,0
2004,North Dakota,0
2005,North Dakota,0
2006,North Dakota,0
2007,North Dakota,0
2008,North Dakota,1
2009,North Dakota,1
2010,North Dakota,3
2011,North Dakota,7
2012,North Dakota,11
2013,North Dakota,12
2014,North Dakota,0
2002,Nebraska,0
2003,Nebraska,0
2004,Nebraska,0
2005,Nebraska,0
2006,Nebraska,0
2007,Nebraska,0
2008,Nebraska,1
2009,Nebraska,5
2010,Nebraska,8
2011,Nebraska,11
2012,Nebraska,16
2013,Nebraska,21
2014,Nebraska,0
2002,New Hampshire,0
2003,New Hampshire,0
2004,New Hampshire,0
2005,New Hampshire,0
2006,New Hampshire,0
2007,New Hampshire,1
2008,New Hampshire,4
2009,New Hampshire,9
2010,New Hampshire,13
2011,New Hampshire,19
2012,New Hampshire,23
2013,New Hampshire,30
2014,New Hampshire,50
2002,New Jersey,0
2003,New Jersey,0
2004,New Jersey,0
2005,New Jersey,0
2006,New Jersey,0
2007,New Jersey,3
2008,New Jersey,8
2009,New Jersey,12
2010,New Jersey,17
2011,New Jersey,22
2012,New Jersey,27
2013,New Jersey,32
2014,New Jersey,100
2002,New Mexico,0
2003,New Mexico,0
2004,New Mexico,0
2005,New Mexico,0
2006,New Mexico,0
2007,New Mexico,1
2008,New Mexico,6
2009,New Mexico,13
2010,New Mexico,19
2011,New Mexico,26
2012,New Mexico,33
2013,New Mexico,36
2014,New Mexico,100
2002,Nevada,0
2003,Nevada,0
2004,Nevada,0
2005,Nevada,0
2006,Nevada,0
2007,Nevada,4
2008,Nevada,11
2009,Nevada,32
2010,Nevada,38
2011,Nevada,47
2012,Nevada,51
2013,Nevada,58
2014,Nevada,100
2002,New York,2
2003,New York,6
2004,New York,10
2005,New York,14
2006,New York,17
2007,New York,23
2008,New York,30
2009,New York,37
2010,New York,42
2011,New York,46
2012,New York,50
2013,New York,53
2014,New York,50
2002,Ohio,0
2003,Ohio,0
2004,Ohio,0
2005,Ohio,0
2006,Ohio,0
2007,Ohio,1
2008,Ohio,3
2009,Ohio,5
2010,Ohio,9
2011,Ohio,13
2012,Ohio,19
2013,Ohio,24
2014,Ohio,0
2002,Oklahoma,0
2003,Oklahoma,0
2004,Oklahoma,0
2005,Oklahoma,0
2006,Oklahoma,0
2007,Oklahoma,5
2008,Oklahoma,13
2009,Oklahoma,28
2010,Oklahoma,38
2011,Oklahoma,40
2012,Oklahoma,44
2013,Oklahoma,49
2014,Oklahoma,0
2002,Oregon,0
2003,Oregon,0
2004,Oregon,0
2005,Oregon,0
2006,Oregon,0
2007,Oregon,4
2008,Oregon,8
2009,Oregon,19
2010,Oregon,27
2011,Oregon,33
2012,Oregon,42
2013,Oregon,51
2014,Oregon,100
2002,Pennsylvania,0
2003,Pennsylvania,0
2004,Pennsylvania,0
2005,Pennsylvania,0
2006,Pennsylvania,0
2007,Pennsylvania,2
2008,Pennsylvania,11
2009,Pennsylvania,15
2010,Pennsylvania,19
2011,Pennsylvania,25
2012,Pennsylvania,31
2013,Pennsylvania,36
2014,Pennsylvania,0
2002,Rhode Island,0
2003,Rhode Island,0
2004,Rhode Island,0
2005,Rhode Island,0
2006,Rhode Island,0
2007,Rhode Island,7
2008,Rhode Island,16
2009,Rhode Island,21
2010,Rhode Island,26
2011,Rhode Island,31
2012,Rhode Island,43
2013,Rhode Island,50
2014,Rhode Island,100
2002,South Carolina,0
2003,South Carolina,0
2004,South Carolina,0
2005,South Carolina,6
2006,South Carolina,24
2007,South Carolina,34
2008,South Carolina,42
2009,South Carolina,52
2010,South Carolina,58
2011,South Carolina,64
2012,South Carolina,71
2013,South Carolina,75
2014,South Carolina,0
2002,South Dakota,0
2003,South Dakota,0
2004,South Dakota,0
2005,South Dakota,0
2006,South Dakota,0
2007,South Dakota,0
2008,South Dakota,2
2009,South Dakota,3
2010,South Dakota,4
2011,South Dakota,8
2012,South Dakota,13
2013,South Dakota,16
2014,South Dakota,0
2002,Tennessee,0
2003,Tennessee,0
2004,Tennessee,0
2005,Tennessee,0
2006,Tennessee,0
2007,Tennessee,2
2008,Tennessee,6
2009,Tennessee,16
2010,Tennessee,26
2011,Tennessee,40
2012,Tennessee,47
2013,Tennessee,53
2014,Tennessee,0
2002,Texas,0
2003,Texas,0
2004,Texas,0
2005,Texas,0
2006,Texas,2
2007,Texas,6
2008,Texas,10
2009,Texas,14
2010,Texas,20
2011,Texas,24
2012,Texas,31
2013,Texas,36
2014,Texas,0
2002,Utah,0
2003,Utah,0
2004,Utah,0
2005,Utah,0
2006,Utah,0
2007,Utah,9
2008,Utah,19
2009,Utah,26
2010,Utah,31
2011,Utah,40
2012,Utah,47
2013,Utah,53
2014,Utah,50
2002,Virginia,0
2003,Virginia,0
2004,Virginia,0
2005,Virginia,0
2006,Virginia,0
2007,Virginia,6
2008,Virginia,15
2009,Virginia,20
2010,Virginia,27
2011,Virginia,34
2012,Virginia,39
2013,Virginia,46
2014,Virginia,0
2002,Vermont,0
2003,Vermont,0
2004,Vermont,0
2005,Vermont,0
2006,Vermont,0
2007,Vermont,2
2008,Vermont,3
2009,Vermont,8
2010,Vermont,10
2011,Vermont,15
2012,Vermont,19
2013,Vermont,25
2014,Vermont,100
2002,Washington,0
2003,Washington,0
2004,Washington,0
2005,Washington,0
2006,Washington,0
2007,Washington,2
2008,Washington,6
2009,Washington,11
2010,Washington,17
2011,Washington,29
2012,Washington,34
2013,Washington,39
2014,Washington,100
2002,Wisconsin,0
2003,Wisconsin,0
2004,Wisconsin,0
2005,Wisconsin,0
2006,Wisconsin,0
2007,Wisconsin,1
2008,Wisconsin,4
2009,Wisconsin,13
2010,Wisconsin,20
2011,Wisconsin,24
2012,Wisconsin,28
2013,Wisconsin,34
2014,Wisconsin,50
2002,West Virginia,0
2003,West Virginia,0
2004,West Virginia,0
2005,West Virginia,0
2006,West Virginia,0
2007,West Virginia,1
2008,West Virginia,8
2009,West Virginia,13
2010,West Virginia,17
2011,West Virginia,23
2012,West Virginia,30
2013,West Virginia,37
2014,West Virginia,0
2002,Wyoming,0
2003,Wyoming,0
2004,Wyoming,0
2005,Wyoming,0
2006,Wyoming,0
2007,Wyoming,0
2008,Wyoming,2
2009,Wyoming,3
2010,Wyoming,4
2011,Wyoming,6
2012,Wyoming,16
2013,Wyoming,18
2014,Wyoming,0
