MIAMI-DADE,"1,114,000","802,430",72%,,,,,,,,,,,,,,,,"23,086","21,000",91%,"823,430","1,137,086",28%,72%
MONROE,90,90,100%,,,,,,,,,,,,,"32,500","21,666",67%,"31,183","31,183",100%,"52,939","63,773",17%,83%
NASSAU,"21,800","20,820",96%,,,,,,,,,,"16,076","16,076",100%,"6,920","6,839",99%,,,,"43,735","44,796",2%,98%
OKALOOSA,,,,,,,"92,602",110,0%,,,,,,,"15,809",0,0%,,,,110,"108,411",100%,0%
OKEECHOBEE,"20,000","19,200",96%,,,,,,,,,,,,,"2,790","2,790",100%,,,,"21,990","22,790",4%,96%
ORANGE,10,10,100%,"369,171","226,228",61%,,,,,,,,,,,,,"211,091","130,143",62%,"356,381","580,272",39%,61%
OSCEOLA,10,10,100%,"48,065","23,979",50%,,,,,,,,,,914,746,82%,"103,742","40,267",39%,"65,002","152,731",57%,43%
PALM BEACH,"739,000","509,490",69%,,,,,,,,,,,,,,,,"27,847","24,500",88%,"533,990","766,847",30%,70%
PASCO,,,,"139,992","102,846",73%,,,,"23,836","14,358",60%,,,,"106,267","71,990",68%,,,,"189,194","270,095",30%,70%
PINELLAS,,,,"540,933","428,475",79%,,,,"10,984",727,7%,,,,,,,,,,"429,202","551,917",22%,78%
POLK,,,,"100,519","66,469",66%,,,,"85,282","50,662",59%,,,,"5,797","5,410",93%,"139,134","84,695",61%,"207,236","330,732",37%,63%
PUTNAM,"20,100","18,920",94%,,,,,,,,,,,,,"21,166","17,648",83%,,,,"36,568","41,266",11%,89%
SANTA ROSA,,,,,,,"68,697",2,0%,,,,,,,"7,559",0,0%,,,,2,"76,256",100%,0%
SARASOTA,"263,800","170,120",64%,,,,,,,,,,,,,35,0,0%,,,,"170,120","263,835",36%,64%
SEMINOLE,"54,400","41,650",77%,"156,103","116,255",74%,,,,,,,,,,,,,,,,"157,905","210,503",25%,75%
ST. JOHNS,"86,800","75,930",87%,,,,,,,,,,,,,,,,"43,969","31,200",71%,"107,130","130,769",18%,82%
ST. LUCIE,"126,200","92,990",74%,,,,,,,,,,,,,,,,"27,630","15,966",58%,"108,956","153,830",29%,71%
SUMTER,,,,"10,171","8,789",86%,,,,,,,,,,"61,939","18,298",30%,"1,500","1,500",100%,"28,587","73,610",61%,39%
SUWANNEE,"5,100","4,530",89%,797,466,58%,,,,,,,,,,"16,860","15,979",95%,,,,"20,975","22,757",8%,92%
TAYLOR,,,,"6,026","3,491",58%,,,,,,,,,,"6,890","5,509",80%,,,,"9,000","12,916",30%,70%
UNION,"1,700","1,150",68%,,,,,,,,,,,,,"3,738","3,485",93%,,,,"4,635","5,438",15%,85%
VOLUSIA,"176,800","125,730",71%,"81,055","68,131",84%,,,,,,,,,,"2,151","1,928",90%,"26,539","26,539",100%,"222,328","286,545",22%,78%
WAKULLA,,,,"6,814","3,844",56%,,,,,,,,,,"8,657","3,405",39%,,,,"7,249","15,471",53%,47%
WALTON,,,,,,,"23,143",4,0%,,,,,,,"36,333",48,0%,,,,52,"59,476",100%,0%
WASHINGTON,,,,,,,"6,481",232,4%,,,,,,,"6,609","1,014",15%,,,,"1,246","13,090",90%,10%
